ID,CHALLENGE,CREATED,DESCRIPTION,HIT_ID,STATUS,WORKER_ID,LENGTH,SPAM,TRIGGERED
45d369b90146452ca0aacabae8b50b19,cscw19-1-description-label,2019-03-23 22:48:35.409,"I hope you'll join us in celebrating not only a Century of ... that turns 3M into a new product powerhouse. ... While 3M people must take personal initiative to build rewarding careers, ... ago could have easily destroyed a young company in the st century. Imagine, for example, that ...... 3M recently entered the touch-screen.",3W5PY7V3UPENENM1CDWSYVJ9DFGJYQ,unreviewed,APHQB0WGRUJTB,328,spam,"Charseq, bayes"
bfa3f395ac3140209c2a66f8fdb5961e,cscw19-1-description-label,2019-03-23 22:46:08.408,"If your guy wins, good luck in the socialist system you will be living in, Denise! ... When the people of America have to line up for flu shots, and get turned away ... So, wouldn't it be WAAAY cool if The Sox (MA) won the ALCS, the Astros (TX) won the ...... Just imagine how shocked they will be come winter and all the plows ",3W5PY7V3UPENENM1CDWSYVJ9DFGJYQ,unreviewed,APHQB0WGRUJTB,328,spam,"Charseq, bayes"
6c45c1f0628240a992f05a9a12b66bc3,cscw19-1-imageAndDescription-label,2019-03-23 23:19:53.353,"This time around, GE Aviation will build the backup electrical power system, ... body on a Boeing 737 — to turn a coil inside an induced magnetic field in the generator ... GE's BuG puts out 50 kilowatts of power from each of the 777X's two engines ... “If you're using backup power, you're going to have to go without a movie,”",3W5PY7V3UPENENM1CDWSYVJ9DFGJYQ,unreviewed,A2DHLRV1OE925A,328,spam,"Charseq, bayes"
d11b008d5d784228bdb9852a1562703c,cscw19-1-imageAndDescription-label,2019-03-24 00:01:30.63," Users can project their desktop onto a flat surface and control it with ... But here's what's really cool: To control it you simply tap on the projected image. ... It could help stores display interactive product information after ... ""By making it possible to turn any surface into a touch screen, we eliminate the need for ...",3W5PY7V3UPENENM1CDWSYVJ9DFGJYQ,unreviewed,A1V595KBP0VLEO,329,spam,"Charseq, bayes"
ce7d0e3d031a4fe48bd0b8c98c75f157,cscw19-1-description-label,2019-03-23 22:54:38.285,"We need to re-think our civilization from the grass roots up, not bumble blindly on. ...... If you expect the continued stress of products and services being priced out ..... If every family does a cookout at the same time the air could quickly become foul ...... Imagine we covered the entire surface of the Earth with solar panels.",3W5PY7V3UPENENM1CDWSYVJ9DFGJYQ,unreviewed,APHQB0WGRUJTB,333,spam,"Charseq, bayes"
6f8a88179d734e2aad115a28de14c3e1,cscw19-1-imageAndDescription-label,2019-03-23 23:18:15.754,"If your guy wins, good luck in the socialist system you will be living in, Denise! ... When the people of America have to line up for flu shots, and get turned away ... So, wouldn't it be WAAAY cool if The Sox (MA) won the ALCS, the Astros (TX) won the ...... Just imagine how shocked they will be come winter and all the plows are ...",3W5PY7V3UPENENM1CDWSYVJ9DFGJYQ,unreviewed,A2DHLRV1OE925A,335,spam,"Charseq, bayes"
5776443cf6544d5f852b6862d5bcd26c,cscw19-1-description-label,2019-03-23 22:49:29.493,"In your career, you may say goodbye to good friends too often. ..... build systems that are entirely inward-facing, such as to make one machine ..... to imagine how those following these lines of thinking could compromise so .... We see incredibly less of the finished products, and we don't get the same level of feedback, at all, ...",3W5PY7V3UPENENM1CDWSYVJ9DFGJYQ,unreviewed,APHQB0WGRUJTB,335,spam,"Charseq, bayes"
0788c814433f42d39d86813d83f1d719,cscw19-1-description-label,2019-03-23 22:47:07.668,"our industries, reinventing our products, redefining our services ... difficult to imagine how your students will succeed .... to build and equip education systems to that they can .... There's no need to turn everyone into data scientists ...... with the Microsoft Surface ..... There's a touch screen for browsing and a full keyboard.",3W5PY7V3UPENENM1CDWSYVJ9DFGJYQ,unreviewed,APHQB0WGRUJTB,336,spam,"Charseq, bayes"
e3b9bf6110c8488293e3fa1d570c8da4,cscw19-1-imageAndDescription-label,2019-03-23 23:30:39.567,"If your guy wins, good luck in the socialist system you will be living in, Denise! ... When the people of America have to line up for flu shots, and get turned away ... So, wouldn't it be WAAAY cool if The Sox (MA) won the ALCS, the Astros (TX) won the ...... Just imagine how shocked they will be come winter and all the plows are ...[PDF]",3FTID4TN8L5T9DA1FY85EAW1H4LLYU,unreviewed,A2D7V4E7TCYOZF,340,spam,"Charseq, bayes"
fb4c884b17a042128ab61258c1d60f5c,cscw19-1-description-label,2019-03-23 22:37:50.218,"Noritake Capacitive Touch Screen Displays Are Engineered To Improve Efficiency! Noritake Touch Screen Display Modules Offer A Wide Variety Of High Brightness TFT Modules! Auto Calibration. Long-Term Support. Stable Operation. Simple Interface. Multiple Touches. Adaptable Sensitivity.  Bill Gates will demo a new multi-touch computer and interface today called ... the touch screen hardware setup itself; the corresponding software to ... TouchWall and Plex are superficially similar to Microsoft Surface, ... and a the system worked fine (I'm trying to get Microsoft to release ..... All rights reserved.",3W5PY7V3UPENENM1CDWSYVJ9DFGJYQ,unreviewed,APHQB0WGRUJTB,605,spam,"Charseq, bayes"
eb586ad04dff4169b8752791134011a9,cscw19-1-imageAndDescription-label,2019-03-23 23:04:53.18,"A toy coated with material that turns its surface sensitive to touch. ... “For the first time, we have been able to take a can of spray paint and put",3VGZ74AYTGN0KIVV8FT04RZAIZHCG7,unreviewed,A1PT6264PIYFCI,149,spam,"Charseq, bayes"
d9606e57fe4b49d98bea521a6c1e279f,cscw19-1-description-label,2019-03-23 22:42:02.177,"Surface Computing: The iDesk Final Frame Desk Gadgets, Gadgets And Gizmos, ... Weekly Innovation: Turn A 3D Printer into a Tattoo Machine Cool Gadgets, .... desks to touch screen tables, these workspaces will change the way you think ... The technology has been customized to serve architects and designers",3W5PY7V3UPENENM1CDWSYVJ9DFGJYQ,unreviewed,APHQB0WGRUJTB,306,spam,"Charseq, bayes"
